Trans. Date,Post Date,Description,Amount,Category
09/26/2022,09/27/2022,"STARBUCKS STORE 06238 AUSTIN TX61415EE4E063782357",15.75,"Restaurants"
09/28/2022,09/28/2022,"CHICK-FIL-A #01136 5123299171 TX",26.72,"Restaurants"
10/03/2022,10/03/2022,"BUSHS CHICKEN - AUSTIN AUSTIN TX",19.90,"Restaurants"
10/04/2022,10/04/2022,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-22.08,"Awards and Rebate Credits"
10/04/2022,10/04/2022,"INTERNET PAYMENT - THANK YOU",-530.24,"Payments and Credits"
10/05/2022,10/05/2022,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA39BX8N-DFD9498C37B0E9",10.79,"Services"
10/08/2022,10/08/2022,"H-E-B #029 W LAKE HILLS TX",5.28,"Supermarkets"
10/08/2022,10/08/2022,"H-E-B #029 W LAKE HILLS TX",12.08,"Supermarkets"
10/08/2022,10/08/2022,"H-E-B #029 W LAKE HILLS TX",31.68,"Supermarkets"
10/08/2022,10/08/2022,"LOWE'S OF S.W. AUSTIN, T AUSTIN TX",20.19,"Home Improvement"
10/10/2022,10/10/2022,"H-E-B #029 W LAKE HILLS TX",23.43,"Supermarkets"
10/10/2022,10/10/2022,"STARBUCKS 800-782-7282 SEATTLE WA",10.50,"Restaurants"
10/12/2022,08/26/2022,"UNRECOGNIZED TRAN CHRGBKAN ADJUSTMENT TO YOUR ACCOUNT",-38.32,"Payments and Credits"
10/13/2022,10/13/2022,"STARBUCKS 800-782-7282 SEATTLE WA",12.02,"Restaurants"
10/16/2022,10/16/2022,"H-E-B #029 W LAKE HILLS TX",17.84,"Supermarkets"
10/16/2022,10/16/2022,"H-E-B #029 W LAKE HILLS TX",131.69,"Supermarkets"
10/17/2022,10/17/2022,"TOMLINSON'S FEED-LAKEWAY LAKEWAY TX",195.84,"Merchandise"
10/18/2022,10/18/2022,"H-E-B #029 W LAKE HILLS TX",16.64,"Supermarkets"
10/18/2022,10/18/2022,"NATIONWIDE PET INS 800-872-7387 CA1112036250000000",31.35,"Merchandise"
10/19/2022,10/19/2022,"CHICK-FIL-A #01136 AUSTIN TX",20.92,"Restaurants"
10/21/2022,10/21/2022,"CHICK-FIL-A #01136 AUSTIN TX",4.64,"Restaurants"
10/22/2022,10/22/2022,"STARBUCKS 800-782-7282 SEATTLE WA",4.82,"Restaurants"
10/23/2022,10/23/2022,"H-E-B #029 W LAKE HILLS TX",22.53,"Supermarkets"
10/24/2022,10/24/2022,"H-E-B #404 AUSTIN TX",65.29,"Supermarkets"
10/25/2022,10/25/2022,"GOLDS GYM TX AUSTIN DOWN 512-479-0044 TX",75.78,"Travel/ Entertainment"
10/27/2022,10/27/2022,"H-E-B #029 W LAKE HILLS TX",7.47,"Supermarkets"
10/28/2022,10/28/2022,"CHICK-FIL-A #01136 5123299171 TX",21.35,"Restaurants"
10/28/2022,10/28/2022,"INTERNET PAYMENT - THANK YOU",-250.00,"Payments and Credits"
10/29/2022,10/29/2022,"CHILIS HILL COUNTRY BEE CAVE TX",55.52,"Restaurants"
10/30/2022,10/30/2022,"H-E-B #029 W LAKE HILLS TX",13.32,"Supermarkets"
10/30/2022,10/30/2022,"STARBUCKS 800-782-7282 SEATTLE WA",11.58,"Restaurants"
11/01/2022,11/01/2022,"INTERNET PAYMENT - THANK YOU",-610.02,"Payments and Credits"
11/02/2022,11/02/2022,"COST PLUS WLD #276 BEE CAVE TX",233.71,"Merchandise"
11/04/2022,11/04/2022,"H-E-B #029 W LAKE HILLS TX",66.70,"Supermarkets"
11/05/2022,11/05/2022,"7-ELEVEN 36596 CEDAR PARK TX",5.28,"Gasoline"
11/05/2022,11/05/2022,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA3BID5U-B99C268CBFE08F",10.79,"Services"
11/07/2022,11/07/2022,"ATHLETA US 1414 AUSTIN TX00747R",428.66,"Merchandise"
11/07/2022,11/07/2022,"SCHLOTZSKYS #101453 BEE CAVE TX",18.30,"Restaurants"
11/07/2022,11/07/2022,"STARBUCKS 800-782-7282 SEATTLE WA",10.72,"Restaurants"
11/10/2022,11/10/2022,"STARBUCKS 800-782-7282 SEATTLE WA",5.68,"Restaurants"
11/14/2022,11/14/2022,"SALTGRASS AUS BEE CAVE BEE CAVE TX",59.44,"Restaurants"
11/15/2022,11/15/2022,"INTERNET PAYMENT - THANK YOU",-400.00,"Payments and Credits"
11/18/2022,11/18/2022,"NATIONWIDE PET INS 800-872-7387 CA1120262820000000",31.35,"Merchandise"
11/19/2022,11/19/2022,"STARBUCKS 800-782-7282 SEATTLE WA",10.72,"Restaurants"
11/21/2022,11/21/2022,"INTERNET PAYMENT - THANK YOU",-495.53,"Payments and Credits"
11/22/2022,11/22/2022,"H-E-B #029 W LAKE HILLS TX",133.52,"Supermarkets"
11/23/2022,11/23/2022,"AMZN MKTP US*HW0835EH1 AMZN.COM/BILLWA4HNBPQ5SHLM",53.32,"Merchandise"
11/23/2022,11/23/2022,"AMZN MKTP US*HW2GW8MX0 AMZN.COM/BILLWA3TAEHJ4PVXC",6.48,"Merchandise"
11/25/2022,11/27/2022,"GOLDS GYM TX AUSTIN DOWN 512-479-0044 TX",75.78,"Travel/ Entertainment"
11/26/2022,11/27/2022,"NORDSTROM #0733 AUSTIN TX",439.28,"Department Stores"
11/27/2022,11/27/2022,"PETSMART # 1737 SUNSET VALLEYTX",83.97,"Merchandise"
11/28/2022,11/28/2022,"H-E-B #029 W LAKE HILLS TX",15.07,"Supermarkets"
11/29/2022,11/29/2022,"JIMMY JOHNS # 832 - E AUSTIN TX",23.54,"Restaurants"
12/01/2022,12/01/2022,"CHICK-FIL-A #01136 5123299171 TX",22.54,"Restaurants"
12/02/2022,12/02/2022,"H-E-B #029 W LAKE HILLS TX",111.51,"Supermarkets"
12/05/2022,12/05/2022,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA3DPWBO-ACB902AEBE49C9",10.79,"Services"
12/06/2022,12/06/2022,"INTERNET PAYMENT - THANK YOU",-400.00,"Payments and Credits"
12/08/2022,12/08/2022,"BEST BUY 00002048295 AUSTIN TX",25.97,"Merchandise"
12/09/2022,12/09/2022,"CHICK-FIL-A #01136 5123299171 TX",29.52,"Restaurants"
12/10/2022,12/10/2022,"H-E-B #029 W LAKE HILLS TX",45.18,"Supermarkets"
12/15/2022,12/15/2022,"COST PLUS WLD #100 AUSTIN TX",174.09,"Merchandise"
12/15/2022,12/15/2022,"INTERNET PAYMENT - THANK YOU",-687.19,"Payments and Credits"
12/15/2022,12/15/2022,"LA MADELEINE SUNSET VALL SUNSET VALLEYTX",37.19,"Restaurants"
12/16/2022,12/16/2022,"H-E-B #029 W LAKE HILLS TX",77.90,"Supermarkets"
12/18/2022,12/18/2022,"NATIONWIDE PET INS 800-872-7387 CA1128325880000000",31.35,"Merchandise"
12/18/2022,12/18/2022,"STARBUCKS 800-782-7282 SEATTLE WA",11.10,"Restaurants"
12/19/2022,12/19/2022,"H-E-B #029 W LAKE HILLS TX",64.61,"Supermarkets"
12/20/2022,12/20/2022,"H-E-B #029 W LAKE HILLS TX",100.21,"Supermarkets"
12/22/2022,12/22/2022,"CHICK-FIL-A #01136 5123299171 TX",33.68,"Restaurants"
12/25/2022,12/25/2022,"GOLDS GYM TX AUSTIN DOWN 512-479-0044 TX",75.78,"Travel/ Entertainment"
12/29/2022,12/29/2022,"CHICK-FIL-A #01136 5123299171 TX",22.80,"Restaurants"
12/29/2022,12/29/2022,"H-E-B #029 W LAKE HILLS TX",87.98,"Supermarkets"
12/30/2022,12/30/2022,"INTERNET PAYMENT - THANK YOU",-605.91,"Payments and Credits"
12/31/2022,12/31/2022,"HOPDODDY - TRIANGLE AUSTIN TX",45.71,"Restaurants"
12/31/2022,12/31/2022,"TEXAS HONE* TEXAS HONE 8887072469 TX",35.95,"Restaurants"
01/04/2023,01/04/2023,"AMZN MKTP US*M55VS30O3 AMZN.COM/BILLWA6OE24MMW9HJ",98.25,"Merchandise"
01/05/2023,01/05/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA3FZGG1-F767510FCFB39E",10.79,"Services"
01/06/2023,01/06/2023,"H-E-B #029 W LAKE HILLS TX",86.28,"Supermarkets"
01/08/2023,01/08/2023,"PETSMART # 1835 CEDAR PARK TX",81.14,"Merchandise"
01/08/2023,01/08/2023,"TARGET 00023424091 CEDAR PARK TX",93.86,"Supermarkets"
01/12/2023,01/12/2023,"H-E-B #029 W LAKE HILLS TX",103.29,"Supermarkets"
01/13/2023,01/13/2023,"INTERNET PAYMENT - THANK YOU",-562.76,"Payments and Credits"
01/14/2023,01/14/2023,"H-E-B #029 W LAKE HILLS TX",79.19,"Supermarkets"
01/14/2023,01/14/2023,"SQ *THE CONTAINER STOR AUSTIN TX0002305843016896293109",336.22,"Merchandise"
01/15/2023,01/15/2023,"LA MADELEINE ARBORETUM AUSTIN TX",26.46,"Restaurants"
01/15/2023,01/15/2023,"SQ *THE CONTAINER STOR AUSTIN TX0002305843016901411862",16.44,"Merchandise"
01/18/2023,01/18/2023,"H-E-B #029 W LAKE HILLS TX",40.78,"Supermarkets"
01/18/2023,01/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1136553990000000",31.35,"Merchandise"
01/19/2023,01/19/2023,"H-E-B #029 W LAKE HILLS TX",57.92,"Supermarkets"
01/25/2023,01/25/2023,"GOLDS GYM TX AUSTIN DOWN 512-479-0044 TX",75.78,"Travel/ Entertainment"
01/27/2023,01/27/2023,"UDEMY: ONLINE COURSES 8888385432 CA",212.08,"Education"
01/28/2023,01/28/2023,"BRILLIANT EARTH SAN FRANCISCOCA",119.08,"Merchandise"
01/28/2023,01/28/2023,"H-E-B #404 AUSTIN TX",69.97,"Supermarkets"
01/30/2023,01/30/2023,"STARBUCKS 800-782-7282 SEATTLE WA",14.67,"Restaurants"
01/31/2023,01/31/2023,"H-E-B #029 W LAKE HILLS TX",37.10,"Supermarkets"
02/02/2023,02/02/2023,"H-E-B #029 W LAKE HILLS TX",35.76,"Supermarkets"
02/02/2023,02/02/2023,"INTERNET PAYMENT - THANK YOU",-767.43,"Payments and Credits"
02/03/2023,02/03/2023,"DOUBLEDAVES PIZZAWORKS 5124021555 TX",74.65,"Restaurants"
02/04/2023,02/04/2023,"H-E-B #404 AUSTIN TX",76.46,"Supermarkets"
02/06/2023,02/06/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA3IE1Y5-3F005318A766FB",10.79,"Services"
02/06/2023,02/06/2023,"H-E-B #029 W LAKE HILLS TX",91.47,"Supermarkets"
02/08/2023,02/08/2023,"H-E-B #029 W LAKE HILLS TX",39.13,"Supermarkets"
02/08/2023,02/08/2023,"STARBUCKS 800-782-7282 SEATTLE WA",17.70,"Restaurants"
02/10/2023,02/10/2023,"CHICK-FIL-A #01136 5123299171 TX",15.15,"Restaurants"
02/10/2023,02/10/2023,"SQ *LOCAL PASTURES AUSTIN TX0002305843017034739362",9.00,"Supermarkets"
02/10/2023,02/10/2023,"SQ *LOCAL PASTURES AUSTIN TX0002305843017034750730",12.00,"Supermarkets"
02/11/2023,02/11/2023,"H-E-B #029 W LAKE HILLS TX",47.40,"Supermarkets"
02/11/2023,02/11/2023,"TRADER JOE'S #453 QPS AUSTIN TX",52.54,"Supermarkets"
02/13/2023,02/13/2023,"RANDALLS #2477 AUSTIN TX",15.93,"Supermarkets"
02/13/2023,02/13/2023,"TRADER JOE'S #453 QPS AUSTIN TX",29.25,"Supermarkets"
02/14/2023,02/14/2023,"STARBUCKS 800-782-7282 SEATTLE WA",7.04,"Restaurants"
02/18/2023,02/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1144915060000000",31.35,"Merchandise"
02/21/2023,02/21/2023,"H-E-B #029 W LAKE HILLS TX",110.43,"Supermarkets"
02/24/2023,02/24/2023,"INTERNET PAYMENT - THANK YOU",-767.43,"Payments and Credits"
02/25/2023,02/25/2023,"GOLDS GYM TX AUSTIN DOWN 512-479-0044 TX",75.78,"Travel/ Entertainment"
02/25/2023,02/27/2023,"CHICK-FIL-A #01136 5123299171 TX",31.66,"Restaurants"
02/25/2023,02/27/2023,"CONTAINERSTOREAUSTINTX AUSTIN TX02505R",108.19,"Merchandise"
02/25/2023,02/27/2023,"H-E-B #029 W LAKE HILLS TX",19.20,"Supermarkets"
02/26/2023,02/27/2023,"LOWE'S OF BEE CAVE, TX BEE CAVE TX",52.96,"Home Improvement"
02/28/2023,02/28/2023,"H-E-B #029 W LAKE HILLS TX",124.11,"Supermarkets"
03/01/2023,03/01/2023,"PETSMART # 1245 WEST AUSTIN TX",127.75,"Merchandise"
03/02/2023,03/02/2023,"CHICK-FIL-A #01136 5123299171 TX",22.66,"Restaurants"
03/03/2023,03/03/2023,"TRADER JOE'S #453 QPS AUSTIN TX",34.12,"Supermarkets"
03/05/2023,03/05/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA3KUM3L-0B096E8F6BC9DE",10.79,"Services"
03/05/2023,03/05/2023,"H-E-B #029 W LAKE HILLS TX",44.91,"Supermarkets"
03/09/2023,03/09/2023,"STARBUCKS 800-782-7282 SEATTLE WA",14.45,"Restaurants"
03/10/2023,03/10/2023,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-100.00,"Awards and Rebate Credits"
03/10/2023,03/10/2023,"H-E-B #768 AUSTIN TX",211.81,"Supermarkets"
03/10/2023,03/10/2023,"INTERNET PAYMENT - THANK YOU",-600.00,"Payments and Credits"
03/13/2023,03/13/2023,"CHICK-FIL-A #01136 5123299171 TX",31.76,"Restaurants"
03/13/2023,03/13/2023,"STARBUCKS 800-782-7282 SEATTLE WA",26.09,"Restaurants"
03/14/2023,03/14/2023,"H-E-B #029 W LAKE HILLS TX",22.71,"Supermarkets"
03/16/2023,03/16/2023,"AMZN MKTP US*HC0AF98L0 AMZN.COM/BILLWA1OVEKLEF85Y",6.47,"Merchandise"
03/17/2023,03/17/2023,"7-ELEVEN 36565 AUSTIN TX",10.27,"Gasoline"
03/17/2023,03/17/2023,"TRADER JOE'S #453 QPS AUSTIN TX",52.60,"Supermarkets"
03/18/2023,03/18/2023,"H-E-B #029 W LAKE HILLS TX",24.83,"Supermarkets"
03/18/2023,03/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1153049420000000",31.35,"Merchandise"
03/19/2023,03/19/2023,"INTERNET PAYMENT - THANK YOU",-626.94,"Payments and Credits"
03/19/2023,03/19/2023,"STARBUCKS 800-782-7282 SEATTLE WA",23.60,"Restaurants"
03/20/2023,03/20/2023,"H-E-B #029 W LAKE HILLS TX",59.02,"Supermarkets"
03/20/2023,03/20/2023,"PEARL RESORT 956-761-6551 TX",166.72,"Travel/ Entertainment"
03/20/2023,03/20/2023,"STARBUCKS STORE 06238 AUSTIN TX9C12EC11D605693358",16.56,"Restaurants"
03/22/2023,03/22/2023,"H-E-B #029 W LAKE HILLS TX",25.26,"Supermarkets"
03/23/2023,03/23/2023,"AMZN MKTP US*H778R7DL0 AMZN.COM/BILLWA2VQSUO27RYO",86.77,"Merchandise"
03/23/2023,03/23/2023,"H-E-B #029 W LAKE HILLS TX",78.35,"Supermarkets"
03/24/2023,03/24/2023,"CHICK-FIL-A #01136 5123299171 TX",17.63,"Restaurants"
03/24/2023,03/24/2023,"H-E-B #029 W LAKE HILLS TX",29.50,"Supermarkets"
03/24/2023,03/24/2023,"SQ *GREENBELT BOTANICA AUSTIN TX0002305843017272759735",58.95,"Merchandise"
03/24/2023,03/24/2023,"STARBUCKS 800-782-7282 SEATTLE WA",17.21,"Restaurants"
03/25/2023,03/25/2023,"GOLDS GYM TX AUSTIN DOWN 512-479-0044 TX",75.78,"Travel/ Entertainment"
03/26/2023,03/27/2023,"CHIPOTLE ONLINE 949-524-4000 CA",20.84,"Restaurants"
03/26/2023,03/27/2023,"ST. AUSTIN CATHOLIC PARI AUSTIN TX",10.00,"Services"
03/26/2023,03/27/2023,"STARBUCKS 800-782-7282 SEATTLE WA",5.90,"Restaurants"
03/28/2023,03/28/2023,"H-E-B #029 W LAKE HILLS TX",97.34,"Supermarkets"
03/29/2023,03/29/2023,"AMZN MKTP US*HY7Y720I1 AMZN.COM/BILLWA5J2XF302GHD",67.08,"Merchandise"
03/30/2023,03/30/2023,"CHICK-FIL-A #01136 5123299171 TX",15.58,"Restaurants"
03/30/2023,03/30/2023,"STARBUCKS 800-782-7282 SEATTLE WA",19.38,"Restaurants"
04/01/2023,04/01/2023,"H-E-B #029 W LAKE HILLS TX",88.18,"Supermarkets"
04/04/2023,04/04/2023,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-38.62,"Awards and Rebate Credits"
04/04/2023,04/04/2023,"INTERNET PAYMENT - THANK YOU",-1060.08,"Payments and Credits"
04/05/2023,04/05/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA3NHDZG-77C8024BC621CD",10.79,"Services"
04/06/2023,04/06/2023,"LEANDER EXPRESS LUBE LEANDER TX00692R",105.10,"Automotive"
04/08/2023,04/08/2023,"PEARL RESORT 956-761-6551 TX",620.16,"Travel/ Entertainment"
04/09/2023,04/09/2023,"TST* AMY'S ICE CREAMS - AUSTIN TX",8.99,"Restaurants"
04/10/2023,04/10/2023,"BUC-EE'S #22 NEW BRAUNFELSTX01067R",25.04,"Supermarkets"
04/10/2023,04/10/2023,"EXXONMOBIL RAYMONDVILLE TX",40.00,"Gasoline"
04/10/2023,04/10/2023,"H-E-B #383 PORT ISABEL TX",80.30,"Supermarkets"
04/10/2023,04/10/2023,"PEARL RESORT F&B SOUTH PADRE ITX",88.10,"Restaurants"
04/11/2023,04/11/2023,"ART SEA GALLERY AND GOOD PORT ISABEL TX",56.29,"Merchandise"
04/11/2023,04/11/2023,"INTERNET PAYMENT - THANK YOU",-745.04,"Payments and Credits"
04/11/2023,04/11/2023,"JOE MERCHANT SOUTH PADRE ITX",4.60,"Restaurants"
04/11/2023,04/11/2023,"JOE MERCHANT SOUTH PADRE ITX",43.25,"Restaurants"
04/11/2023,04/11/2023,"SQ *BAYSIDE FASHION & BROWNSVILLE TX0002305843017380390087",37.89,"Merchandise"
04/11/2023,04/11/2023,"TESORI PORT ISABEL TX",15.16,"Merchandise"
04/11/2023,04/11/2023,"WINGSTOP 571 OLO 224-232-5535 TX",18.92,"Restaurants"
04/12/2023,04/12/2023,"JOE MERCHANT SOUTH PADRE ITX",5.63,"Restaurants"
04/12/2023,04/12/2023,"JOE MERCHANT SOUTH PADRE ITX",7.85,"Restaurants"
04/12/2023,04/12/2023,"PEARL RESORT F&B SOUTH PADRE ITX",64.09,"Restaurants"
04/12/2023,04/12/2023,"PIRATES LANDING RESTAURA PORT ISABEL TX",88.40,"Restaurants"
04/12/2023,04/12/2023,"TST* YUMMIES BISTRO SP SOUTH PADRE ITX00045868011223113503AA",37.62,"Restaurants"
04/13/2023,04/13/2023,"H-E-B GAS #383 PORT ISABEL TX",44.99,"Gasoline"
04/13/2023,04/13/2023,"JOE MERCHANT SOUTH PADRE ITX",18.19,"Restaurants"
04/13/2023,04/13/2023,"JOE MERCHANT SOUTH PADRE ITX",130.87,"Restaurants"
04/13/2023,04/13/2023,"PEARL RESORT F&B SOUTH PADRE ITX",25.65,"Restaurants"
04/13/2023,04/13/2023,"TST* YUMMIES BISTRO SP SOUTH PADRE ITX00045868011237010508AA",44.11,"Restaurants"
04/13/2023,04/13/2023,"WALGREENS #11672 PORT ISABEL TX",5.58,"Merchandise"
04/14/2023,04/14/2023,"BUC-EE'S #17 LULING TX01466R",53.07,"Gasoline"
04/14/2023,04/14/2023,"GATTIS PIZZA CEDAR PAR CEDAR PARK TX",13.20,"Restaurants"
04/14/2023,04/14/2023,"KRISPY KREME #130 AUSTIN TX01412R",15.69,"Restaurants"
04/14/2023,04/14/2023,"STARBUCKS STORE 29568 CORPUS CHRISTTX81F39FCB7C35726063",23.33,"Restaurants"
04/16/2023,04/16/2023,"7-ELEVEN 36577 WEST LAKE HILTX",17.28,"Gasoline"
04/16/2023,04/16/2023,"RANDALLS #2987 AUSTIN TX",15.44,"Supermarkets"
04/18/2023,04/18/2023,"H-E-B #029 W LAKE HILLS TX",149.20,"Supermarkets"
04/18/2023,04/18/2023,"NATIONWIDE PET INS 800-872-7387 CA1161216360000000",31.53,"Merchandise"
04/20/2023,04/20/2023,"CHICK-FIL-A #01136 5123299171 TX",9.74,"Restaurants"
04/20/2023,04/20/2023,"H-E-B #029 W LAKE HILLS TX",36.34,"Supermarkets"
04/22/2023,04/22/2023,"INTERNET PAYMENT - THANK YOU",-774.40,"Payments and Credits"
04/23/2023,04/23/2023,"APPLE.COM/BILL 866-712-7753 CAMM24H4QXLVA0",0.99,"Merchandise"
04/25/2023,04/25/2023,"GOLDS GYM TX AUSTIN DOWN 512-479-0044 TX",75.78,"Travel/ Entertainment"
04/26/2023,04/27/2023,"H-E-B #029 W LAKE HILLS TX",122.86,"Supermarkets"
04/26/2023,04/27/2023,"HILL COUNTRY ANIMAL HOSP AUSTIN TX",79.80,"Services"
04/30/2023,04/30/2023,"TST* DIRDIE BIRDIE AUSTIN TX00100419011508437451AA",53.87,"Restaurants"
05/02/2023,05/02/2023,"DOUBLEDAVES PIZZAWORKS 5124021555 TX",52.94,"Restaurants"
05/03/2023,05/03/2023,"H-E-B #428 AUSTIN TX",16.78,"Supermarkets"
05/03/2023,05/03/2023,"H-E-B #428 AUSTIN TX",64.61,"Supermarkets"
05/03/2023,05/03/2023,"IPSY* BOXYCHARM 6502277841 CA",32.46,"Merchandise"
05/04/2023,05/04/2023,"ABERCROMBIE & FITCH #060 AUSTIN TX",251.67,"Merchandise"
05/05/2023,05/05/2023,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA3Q96AH-F9C419E5AE09EF",10.79,"Services"
05/05/2023,05/05/2023,"INTERNET PAYMENT - THANK YOU",-891.65,"Payments and Credits"
05/06/2023,05/06/2023,"SQ *RADIX HOUSE COFFEE AUSTIN TX0002305843017539720124",12.98,"Merchandise"
05/06/2023,05/06/2023,"THE HOME DEPOT #6570 SUNSET VALLEYTX",34.55,"Home Improvement"
05/07/2023,05/07/2023,"IZUMI SUSHI W LAKE HILLS TX",51.41,"Restaurants"
05/07/2023,05/07/2023,"TAMALE HOUSE 2028718407 CA",77.95,"Restaurants"
05/07/2023,05/07/2023,"TARGET 00010611091 AUSTIN TX",94.16,"Supermarkets"
05/09/2023,05/09/2023,"H-E-B #029 W LAKE HILLS TX",139.29,"Supermarkets"
05/10/2023,05/10/2023,"H-E-B #029 W LAKE HILLS TX",3.68,"Supermarkets"
05/10/2023,05/10/2023,"H-E-B #029 W LAKE HILLS TX",6.15,"Supermarkets"
05/10/2023,05/10/2023,"STARBUCKS 800-782-7282 SEATTLE WA",11.04,"Restaurants"
05/11/2023,05/11/2023,"RAISING CANES 0161 AUSTIN TX01105R",19.90,"Restaurants"
05/12/2023,05/12/2023,"STARBUCKS STORE 06238 AUSTIN TX039F235F95C8679443",13.04,"Restaurants"
05/12/2023,05/12/2023,"TOMLINSON'S FEED-WESTLAK AUSTIN TX",69.26,"Merchandise"
05/13/2023,05/13/2023,"H-E-B #029 W LAKE HILLS TX",13.13,"Supermarkets"
05/13/2023,05/13/2023,"H-E-B #029 W LAKE HILLS TX",109.90,"Supermarkets"
05/13/2023,05/13/2023,"STARBUCKS 800-782-7282 SEATTLE WA",10.93,"Restaurants"
05/16/2023,05/16/2023,"H-E-B #029 W LAKE HILLS TX",97.49,"Supermarkets"
05/16/2023,05/16/2023,"STARBUCKS 800-782-7282 SEATTLE WA",11.04,"Restaurants"
05/19/2023,05/19/2023,"NATIONWIDE PET INS 800-872-7387 CA1169531600000000",31.26,"Merchandise"
05/19/2023,05/19/2023,"TWOCRAZYCATLADIES.COM 8778015355 NV",49.89,"Merchandise"
05/20/2023,05/20/2023,"INTERNET PAYMENT - THANK YOU",-549.72,"Payments and Credits"
05/21/2023,05/21/2023,"ABERCROMBIE & FITCH #060 AUSTIN TX",86.60,"Merchandise"
05/21/2023,05/23/2023,"ABERCROMBIE & FITCH #060 AUSTIN TX",-83.03,"Payments and Credits"
05/22/2023,05/22/2023,"TRADER JOE S #453 AUSTIN TX",70.46,"Supermarkets"
05/23/2023,05/23/2023,"APPLE.COM/BILL 866-712-7753 CAMM24K3V522A0",0.99,"Merchandise"
05/23/2023,05/23/2023,"H-E-B #029 W LAKE HILLS TX",110.07,"Supermarkets"
05/25/2023,05/25/2023,"DOMINO'S 6606 AUSTIN TX",22.37,"Restaurants"
05/25/2023,05/25/2023,"GOLDS GYM TX AUSTIN DOWN 512-479-0044 TX",75.78,"Travel/ Entertainment"
05/26/2023,05/27/2023,"TACO CABANA 20127 AUSTIN TX",11.63,"Restaurants"
