Trans. Date,Post Date,Description,Amount,Category
05/21/2024,05/21/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
05/31/2024,05/31/2024,"IPSY* BOXYCHARM 6502277841 CA",34.63,"Merchandise"
06/01/2024,06/01/2024,"IPSY* ADD ONS 6502277841 CA",3.79,"Merchandise"
06/01/2024,06/01/2024,"WORLD MARKET #82 CEDAR PARK TX",94.10,"Merchandise"
06/06/2024,06/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4UKVLP-79B12F984DB8E1",12.95,"Services"
06/16/2024,06/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
06/17/2024,06/17/2024,"INTERNET PAYMENT - THANK YOU",-225.31,"Payments and Credits"
06/18/2024,06/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1275844680000000",41.86,"Merchandise"
06/19/2024,06/19/2024,"APPLE.COM/BILL 866-712-7753 CAMM25LBFWHMA0",2.99,"Merchandise"
06/21/2024,06/21/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
06/30/2024,06/30/2024,"IPSY* BOXYCHARM 6502277841 CA",34.63,"Merchandise"
07/06/2024,07/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4Y1UEU-2CD96FB524CAAD",12.95,"Services"
07/15/2024,07/15/2024,"APPLE.COM/BILL 111-111-1111 CA",5.40,"Merchandise"
07/16/2024,07/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
07/18/2024,07/18/2024,"INTERNET PAYMENT - THANK YOU",-202.80,"Payments and Credits"
07/18/2024,07/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1283593350000000",41.86,"Merchandise"
07/19/2024,07/19/2024,"APPLE.COM/BILL 866-712-7753 CAMM25Q01B0BA0",2.99,"Merchandise"
07/21/2024,07/21/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
07/31/2024,07/31/2024,"IPSY* ICON BOX 6502277841 CA",67.10,"Merchandise"
08/06/2024,08/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@51KNVN-C8F96B9391D637",12.95,"Services"
08/08/2024,08/08/2024,"HELP.MAX.COM 8559426669 NY",18.39,"Merchandise"
08/16/2024,08/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
08/18/2024,08/18/2024,"APPLE.COM/BILL 866-712-7753 CAMM25TM33HJA0",2.99,"Merchandise"
08/18/2024,08/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1291300390000000",41.86,"Merchandise"
08/19/2024,08/19/2024,"INTERNET PAYMENT - THANK YOU",-213.27,"Payments and Credits"
08/21/2024,08/21/2024,"H-E-B #580 CEDAR PARK TX",113.24,"Supermarkets"
08/21/2024,08/21/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
08/21/2024,08/21/2024,"TOMLINSONS FEED 5124521560 TX",44.34,"Merchandise"
